dataset,system,questions,clusters,accuracy,accuracy_low,accuracy_high,mean_family_accuracy,mean_family_accuracy_low,mean_family_accuracy_high,mean_family_f1,mean_family_f1_low,mean_family_f1_high,correct,out_of_target
opentom,base_direct,621,27,0.534621578099839,0.4669887278582931,0.607085346215781,0.5185185185185186,0.44753086419753085,0.5936213991769548,0.4559173478668375,0.39914740983603514,0.5034902182811704,332,28
opentom,answer_only_direct,621,27,0.5249597423510467,0.4605475040257649,0.5942431561996774,0.5051440329218108,0.4361882716049382,0.5781893004115227,0.42992328422885123,0.3807959187915863,0.4678963109728128,326,26
opentom,subjectesis_direct,621,27,0.5185185185185185,0.4524959742351047,0.5893719806763285,0.4969135802469135,0.4228395061728395,0.573045267489712,0.42613107189844074,0.3747839260357938,0.4679568897554953,322,31
opentom,subjectesis_no_review,621,27,0.533011272141707,0.463768115942029,0.6038647342995169,0.5154320987654322,0.43930041152263377,0.5936213991769548,0.4501248474079352,0.39403542770879946,0.49478706130731415,331,38
opentom,subjectesis_review,621,27,0.5233494363929146,0.45410628019323673,0.5958534621578094,0.5061728395061729,0.42798353909465026,0.5853909465020576,0.4415078817604485,0.383039528599389,0.48877025715542183,325,39
