system,questions,scorable,accuracy,ci_low,ci_high,mean_family_macro_f1,f1_ci_low,f1_ci_high,corrupt_rate
base_direct,621,621,0.534622,0.466989,0.607085,0.455917,0.399147,0.503490,0
answer_only_direct,621,621,0.524960,0.460548,0.594243,0.429923,0.380796,0.467896,0
subjectesis_direct,621,621,0.518519,0.452496,0.589372,0.426131,0.374784,0.467957,0
subjectesis_no_review,621,621,0.533011,0.463768,0.603865,0.450125,0.394035,0.494787,0.004831
subjectesis_review,621,621,0.523349,0.454106,0.595853,0.441508,0.383040,0.488770,0.004831
