dataset,a,b,omitted_cluster,metric,difference
opentom,subjectesis_review,subjectesis_no_review,61757120,accuracy,-0.010033444816053505
opentom,subjectesis_review,subjectesis_no_review,62157313,accuracy,-0.00836120401337792
opentom,subjectesis_review,subjectesis_no_review,74356138,accuracy,-0.00836120401337792
opentom,subjectesis_review,subjectesis_no_review,74447435,accuracy,-0.010033444816053505
opentom,subjectesis_review,subjectesis_no_review,78394024,accuracy,-0.01170568561872909
opentom,subjectesis_review,subjectesis_no_review,82931048,accuracy,-0.00836120401337792
opentom,subjectesis_review,subjectesis_no_review,86737383,accuracy,-0.01170568561872909
opentom,subjectesis_review,subjectesis_no_review,88535842,accuracy,-0.010033444816053505
opentom,subjectesis_review,subjectesis_no_review,90768647,accuracy,-0.010033444816053505
opentom,subjectesis_review,subjectesis_no_review,98132318,accuracy,-0.01170568561872909
opentom,subjectesis_review,subjectesis_no_review,99473854,accuracy,-0.010033444816053505
