dataset,system,questions,clusters,accuracy,accuracy_low,accuracy_high,mean_family_accuracy,mean_family_accuracy_low,mean_family_accuracy_high,mean_family_f1,mean_family_f1_low,mean_family_f1_high,correct,out_of_target
rectom,base_direct,621,67,0.7278582930756844,0.6829643379241364,0.7717597951820462,0.7348870204939569,0.6896551122279843,0.7784455323630293,0.7072709250963143,0.6020411192822479,0.7432213037125127,452,0
rectom,answer_only_direct,621,67,0.9468599033816425,0.9184339314845025,0.9725374563552035,0.9482080924855492,0.9196588266705669,0.9736035726528229,0.9017307038898241,0.7945956141617126,0.9569775739801922,588,0
rectom,subjectesis_direct,621,67,0.9436392914653784,0.9213827644689422,0.9648836765827613,0.946437204414083,0.9243581677294334,0.9670055919209427,0.8914681795964841,0.799150064026861,0.9440581284067989,586,0
rectom,subjectesis_no_review,621,67,0.9420289855072463,0.9137368305948578,0.967576999242177,0.9438728323699421,0.9155469182714646,0.9690850524340263,0.889067551568093,0.7946754758721942,0.9444905338877565,585,0
rectom,subjectesis_review,621,67,0.9420289855072463,0.9137368305948578,0.967576999242177,0.9438728323699421,0.9155469182714646,0.9690850524340263,0.889067551568093,0.7946754758721942,0.9444905338877565,585,0
