dataset,system,equal_cluster_accuracy,question_accuracy,mean_family_accuracy,target_macro_f1
opentom,base_direct,0.5346215780998389,0.534621578099839,0.5185185185185186,0.4559173478668375
opentom,answer_only_direct,0.5249597423510467,0.5249597423510467,0.5051440329218108,0.42992328422885123
opentom,subjectesis_direct,0.5185185185185185,0.5185185185185185,0.4969135802469135,0.42613107189844074
opentom,subjectesis_no_review,0.533011272141707,0.533011272141707,0.5154320987654322,0.4501248474079352
opentom,subjectesis_review,0.5233494363929148,0.5233494363929146,0.5061728395061729,0.4415078817604485
