dataset,policy,triggered_questions,correct,accuracy,difference_from_no_review,difference_low,difference_high,status
rectom,review_if_any_unknown_field,357,585,0.9420289855072463,0.0,0.0,0.0,post-hoc offline branch replay; not new inference or validation-selected deployment policy
opentom,review_if_claim_exactly_unknown,109,330,0.5314009661835749,-0.001610305958132045,-0.01288244766505636,0.008051529790660225,post-hoc offline branch replay; not new inference or validation-selected deployment policy
