dataset,system,family,questions,clusters,accuracy,accuracy_low,accuracy_high,f1,f1_low,f1_high
rectom,base_direct,belief,346,67,0.6734104046242775,0.6197152656573446,0.7254405450041288,0.6260338299772913,0.4521372891421469,0.662543584779337
rectom,base_direct,desire,275,67,0.7963636363636364,0.7372262773722628,0.8507503392130258,0.7885080202153373,0.7299133387133709,0.8421950895523658
rectom,answer_only_direct,belief,346,67,0.9364161849710982,0.9036144578313253,0.9660506905210294,0.8504414820159308,0.6474219916668654,0.952516827082269
rectom,answer_only_direct,desire,275,67,0.96,0.9296283255086072,0.9854558629776021,0.9530199257637174,0.9163470913572815,0.9831309366112299
rectom,subjectesis_direct,belief,346,67,0.9219653179190751,0.8919732232232231,0.9501387072403962,0.8169920867471477,0.6378792361725272,0.9176957082042724
rectom,subjectesis_direct,desire,275,67,0.9709090909090909,0.9479553903345725,0.989247311827957,0.9659442724458205,0.9383457722151093,0.9876719868473689
rectom,subjectesis_no_review,belief,346,67,0.9277456647398844,0.8945868945868946,0.9581032685733344,0.8242303412314241,0.6437940925166795,0.927149982396344
rectom,subjectesis_no_review,desire,275,67,0.96,0.9283089657306413,0.9855595667870036,0.9539047619047619,0.9177486825696588,0.9834876366576393
rectom,subjectesis_review,belief,346,67,0.9277456647398844,0.8945868945868946,0.9581032685733344,0.8242303412314241,0.6437940925166795,0.927149982396344
rectom,subjectesis_review,desire,275,67,0.96,0.9283089657306413,0.9855595667870036,0.9539047619047619,0.9177486825696588,0.9834876366576393
